Smiles,Inchi Key
COCCN(CC(=O)NCc1ccc2c(c1)OCO2)C(=O)CCC(=O)Nc1nccs1,FIUMRHWFGDBICI-UHFFFAOYSA-N
N#CN1CC[C@@H](NC(=O)c2cc(-c3ccccn3)[nH]n2)C1,JOAIHMFYBJKALC-SNVBAGLBSA-N
CC(Sc1nc2ccccc2s1)C(=O)N1CCOCC1,ZSEBEKGQCODPJX-UHFFFAOYSA-N
Cc1cccc(NC(=O)c2cc(-c3cc(Cl)ccc3O)[nH]n2)c1,WVNOOGQICZKEHR-UHFFFAOYSA-N
Cc1nc(NCc2ccco2)c2oc3ccccc3c2n1,WNZRCEWKKLZFBQ-UHFFFAOYSA-N
COc1ccc(Cl)cc1NC(=O)CN(C)C(=O)Cc1nnc(O)c2ccccc12,LFZLNXLFNFFFOP-UHFFFAOYSA-N
O=S(=O)(c1ccc(Cl)cc1)c1nc(-c2ccco2)oc1N1CCOCC1,LAHHCZHSXZLMBT-UHFFFAOYSA-N
NC(=O)N(O)C1CCc2cccc(Oc3ccccc3)c21,GGKNWMLKBDFJRK-UHFFFAOYSA-N
COc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1NC(=O)COc1ccc(C)cc1,NRFRKRXQLASGDG-UHFFFAOYSA-N
CCC1(c2ccccc2)N=C(S)N(c2ccc(C)cc2)N1,VZVWTEWVLPWRKA-UHFFFAOYSA-N
CCN(CC)C(=O)C1CCN(S(=O)(=O)c2ccc(C3CNC(=O)C3)cc2)CC1,ZVDOBXMNWGTMPK-UHFFFAOYSA-N
CCOc1ccc(-n2c(SCC(=O)Nc3ccc(OC)cc3OC)nc3c(c2=O)SCC3)cc1,NFZOKCOPHDPOAA-UHFFFAOYSA-N
COc1ccc(C)cc1S(=O)(=O)N1CCN(C(=O)c2ncoc2-c2cccc(C)c2)CC1,GFJCSGQSLYDWTR-UHFFFAOYSA-N
COCCn1c(N)c(S(=O)(=O)c2cccs2)c2nc3ccccc3nc21,NPLMDAHZTABXQO-UHFFFAOYSA-N
